# store-stride interleaved entry-capacity test
# access pattern: for step in train_accesses, for page in active_pages, store page+step*stride
# store_pc=0x0000000500000120 stream_buffer=0x0000000600000000 page_size=4096
# stride_lines=5 stride_bytes=320 train_accesses=5 predicted_line=25
# max_pages=1024 rounds=1000 page_step=1
# lower avg_latency_ns means more predicted lines were prefetched
# n_pages	avg_latency_ns	probes
438	200	438000
439	200	439000
440	200	440000
441	200	441000
442	199	442000
443	200	443000
444	200	444000
445	200	445000
446	200	446000
447	200	447000
448	200	448000
449	200	449000
450	201	450000
451	204	451000
452	200	452000
453	200	453000
454	200	454000
455	200	455000
456	200	456000
457	200	457000
458	200	458000
459	200	459000
460	200	460000
461	200	461000
462	200	462000
463	200	463000
464	200	464000
465	200	465000
466	200	466000
467	200	467000
468	201	468000
469	200	469000
470	200	470000
471	200	471000
472	200	472000
473	200	473000
474	201	474000
475	200	475000
476	200	476000
477	200	477000
478	200	478000
479	200	479000
480	200	480000
481	200	481000
482	200	482000
483	200	483000
484	200	484000
485	200	485000
486	200	486000
487	200	487000
488	200	488000
489	200	489000
490	200	490000
491	200	491000
492	200	492000
493	200	493000
494	200	494000
495	200	495000
496	200	496000
497	200	497000
498	200	498000
499	200	499000
500	200	500000
501	200	501000
502	200	502000
503	199	503000
504	200	504000
505	200	505000
506	200	506000
507	200	507000
508	200	508000
509	200	509000
510	200	510000
511	200	511000
512	200	512000
513	200	513000
514	200	514000
515	200	515000
516	200	516000
517	200	517000
518	200	518000
519	200	519000
520	200	520000
521	200	521000
522	200	522000
523	200	523000
524	200	524000
525	200	525000
526	200	526000
527	200	527000
528	200	528000
529	200	529000
530	200	530000
531	200	531000
532	200	532000
533	200	533000
534	200	534000
535	200	535000
536	200	536000
537	200	537000
538	200	538000
539	200	539000
540	200	540000
541	200	541000
542	200	542000
543	200	543000
544	200	544000
545	200	545000
546	200	546000
547	200	547000
548	200	548000
549	200	549000
550	200	550000
551	200	551000
552	200	552000
553	200	553000
554	200	554000
555	200	555000
556	200	556000
557	200	557000
558	200	558000
559	200	559000
560	200	560000
561	200	561000
562	200	562000
563	200	563000
564	200	564000
565	200	565000
566	200	566000
567	200	567000
568	200	568000
569	200	569000
570	200	570000
571	200	571000
572	200	572000
573	200	573000
574	200	574000
575	200	575000
576	200	576000
577	200	577000
578	200	578000
579	200	579000
580	200	580000
581	200	581000
582	200	582000
583	200	583000
584	200	584000
585	200	585000
586	200	586000
587	200	587000
588	200	588000
589	200	589000
590	200	590000
591	200	591000
592	200	592000
593	200	593000
594	200	594000
595	200	595000
596	200	596000
597	200	597000
598	200	598000
599	200	599000
600	200	600000
601	200	601000
602	200	602000
603	200	603000
604	200	604000
605	200	605000
606	200	606000
607	200	607000
608	200	608000
609	200	609000
610	200	610000
611	200	611000
612	200	612000
613	200	613000
614	200	614000
615	200	615000
616	200	616000
617	200	617000
618	200	618000
619	200	619000
620	200	620000
621	200	621000
622	200	622000
623	200	623000
624	200	624000
625	200	625000
626	200	626000
627	200	627000
628	200	628000
629	200	629000
630	200	630000
631	200	631000
632	200	632000
633	200	633000
634	200	634000
635	200	635000
636	200	636000
637	200	637000
638	200	638000
639	200	639000
640	200	640000
641	200	641000
642	200	642000
643	200	643000
644	200	644000
645	200	645000
646	200	646000
647	200	647000
648	200	648000
649	200	649000
650	200	650000
651	200	651000
652	200	652000
653	200	653000
654	200	654000
655	200	655000
656	200	656000
657	200	657000
658	200	658000
659	200	659000
660	200	660000
661	200	661000
662	200	662000
663	200	663000
664	200	664000
665	200	665000
666	200	666000
667	200	667000
668	200	668000
669	200	669000
670	200	670000
671	200	671000
672	200	672000
673	200	673000
674	200	674000
675	200	675000
676	200	676000
677	201	677000
678	200	678000
679	200	679000
680	200	680000
681	200	681000
682	200	682000
683	200	683000
684	200	684000
685	200	685000
686	200	686000
687	200	687000
688	200	688000
689	200	689000
690	200	690000
691	200	691000
692	200	692000
693	200	693000
694	200	694000
695	200	695000
696	200	696000
697	200	697000
698	200	698000
699	200	699000
700	200	700000
701	200	701000
702	200	702000
703	203	703000
704	200	704000
705	200	705000
706	200	706000
707	200	707000
708	200	708000
709	200	709000
710	200	710000
711	200	711000
712	200	712000
713	200	713000
714	200	714000
715	200	715000
716	200	716000
717	200	717000
718	200	718000
719	200	719000
720	200	720000
721	200	721000
722	200	722000
723	200	723000
724	200	724000
725	200	725000
726	200	726000
727	200	727000
728	200	728000
729	200	729000
730	200	730000
731	200	731000
732	200	732000
733	200	733000
734	200	734000
735	200	735000
736	200	736000
737	200	737000
738	200	738000
739	200	739000
740	200	740000
741	200	741000
742	200	742000
743	200	743000
744	200	744000
745	200	745000
746	200	746000
747	200	747000
748	200	748000
749	200	749000
750	200	750000
751	200	751000
752	200	752000
753	200	753000
754	200	754000
755	200	755000
756	200	756000
757	200	757000
758	200	758000
759	200	759000
760	200	760000
761	200	761000
762	200	762000
763	200	763000
764	200	764000
765	200	765000
766	200	766000
767	200	767000
768	200	768000
769	200	769000
770	200	770000
771	200	771000
772	200	772000
773	200	773000
774	200	774000
775	200	775000
776	200	776000
777	200	777000
778	200	778000
779	200	779000
780	200	780000
781	200	781000
782	200	782000
783	200	783000
784	200	784000
785	200	785000
786	200	786000
787	200	787000
788	200	788000
789	200	789000
790	200	790000
791	200	791000
792	200	792000
793	200	793000
794	200	794000
795	200	795000
796	200	796000
797	200	797000
798	200	798000
799	200	799000
800	200	800000
801	200	801000
802	200	802000
803	200	803000
804	200	804000
805	200	805000
806	200	806000
807	200	807000
808	200	808000
809	200	809000
810	200	810000
811	200	811000
812	200	812000
813	200	813000
814	200	814000
815	200	815000
816	200	816000
817	200	817000
818	200	818000
819	200	819000
820	200	820000
821	200	821000
822	200	822000
823	200	823000
824	200	824000
825	200	825000
826	200	826000
827	200	827000
828	200	828000
829	200	829000
830	200	830000
831	200	831000
832	200	832000
833	200	833000
834	200	834000
835	200	835000
836	200	836000
837	200	837000
838	200	838000
839	200	839000
840	200	840000
841	200	841000
842	200	842000
843	200	843000
844	200	844000
845	200	845000
846	200	846000
847	200	847000
848	200	848000
849	200	849000
850	200	850000
851	200	851000
852	200	852000
853	200	853000
854	200	854000
855	200	855000
856	200	856000
857	200	857000
858	200	858000
859	200	859000
860	200	860000
861	200	861000
862	200	862000
863	200	863000
864	200	864000
865	200	865000
866	200	866000
867	200	867000
868	200	868000
869	200	869000
870	200	870000
871	200	871000
872	200	872000
873	200	873000
874	200	874000
875	200	875000
876	200	876000
877	200	877000
878	200	878000
879	200	879000
880	200	880000
881	200	881000
882	200	882000
883	200	883000
884	200	884000
885	200	885000
886	200	886000
887	200	887000
888	200	888000
889	200	889000
890	200	890000
891	200	891000
892	200	892000
893	200	893000
894	202	894000
895	200	895000
896	200	896000
897	200	897000
898	200	898000
899	200	899000
900	200	900000
901	200	901000
902	200	902000
903	200	903000
904	200	904000
905	200	905000
906	200	906000
907	200	907000
908	200	908000
909	200	909000
910	200	910000
911	200	911000
912	200	912000
913	200	913000
914	200	914000
915	200	915000
916	200	916000
917	200	917000
918	200	918000
919	200	919000
920	200	920000
921	200	921000
922	200	922000
923	200	923000
924	200	924000
925	200	925000
926	200	926000
927	200	927000
928	200	928000
929	200	929000
930	200	930000
931	200	931000
932	200	932000
933	200	933000
934	200	934000
935	200	935000
936	200	936000
937	200	937000
938	200	938000
939	200	939000
940	200	940000
941	200	941000
942	200	942000
943	200	943000
944	200	944000
945	200	945000
946	200	946000
947	200	947000
948	200	948000
949	200	949000
950	200	950000
951	200	951000
952	200	952000
953	200	953000
954	200	954000
955	200	955000
956	200	956000
957	200	957000
958	200	958000
959	200	959000
960	200	960000
961	200	961000
962	200	962000
963	200	963000
964	200	964000
965	200	965000
966	200	966000
967	200	967000
968	200	968000
969	200	969000
970	200	970000
971	200	971000
972	200	972000
973	200	973000
974	200	974000
975	200	975000
976	200	976000
977	200	977000
978	200	978000
979	200	979000
980	200	980000
981	200	981000
982	200	982000
983	200	983000
984	200	984000
985	200	985000
986	200	986000
987	200	987000
988	200	988000
989	200	989000
990	200	990000
991	200	991000
992	200	992000
993	200	993000
994	200	994000
995	200	995000
996	200	996000
997	200	997000
998	200	998000
999	200	999000
1000	200	1000000
1001	200	1001000
1002	200	1002000
1003	200	1003000
1004	200	1004000
1005	200	1005000
1006	200	1006000
1007	200	1007000
1008	200	1008000
1009	200	1009000
1010	200	1010000
1011	200	1011000
1012	200	1012000
1013	200	1013000
1014	200	1014000
1015	200	1015000
1016	200	1016000
1017	200	1017000
1018	200	1018000
1019	200	1019000
1020	200	1020000
1021	200	1021000
1022	200	1022000
1023	200	1023000
1024	200	1024000
