arch=A55, core=1, stride=5, train_accesses=5, max_competitors=20, rounds=100, page_step=1, probe_lines=64, threshold=120 ns
config default train_accesses=5
# store-stride entry-capacity test
# stride=320 rounds=100 page_size=4096 store_pc=0x0000000500000120 victim_buffer=0x0000000600000000
# STRIDE_LINES=5 TRAIN_ACCESSES=5 COMPETITOR_ACCESSES=6 PROBE_LINES=64 max_competitors=20 page_step_pages=1
# victim training: 5 stores, stride_lines=5
# victim trigger line: 31
# victim probe/predicted line: 25
# competitor accesses per page: 6 stores, stride_lines=5
# lower latency means that victim line was more likely prefetched
# FENCE_AFTER_EACH_STORE=0
# FLUSH_COMPETITORS_AFTER_TRAIN=0
# no_trigger_n0_latency_ns=159
n	probe_line	offset_bytes	role	avg_ns	probes
5	46	2944	candidate	201	100
5	47	3008	candidate	204	100
5	48	3072	candidate	200	100
5	49	3136	candidate	202	100
5	50	3200	candidate	111	100
5	51	3264	candidate	205	100
5	52	3328	candidate	200	100
5	53	3392	candidate	192	100
5	54	3456	candidate	200	100
5	55	3520	candidate	120	100
5	56	3584	candidate	190	100
5	57	3648	candidate	197	100
5	58	3712	candidate	208	100
5	59	3776	candidate	198	100
5	60	3840	candidate	136	100
5	61	3904	candidate	197	100
5	62	3968	candidate	196	100
5	63	4032	candidate	200	100
6	0	0	trained	77	100
6	1	64	candidate	198	100
6	2	128	candidate	203	100
6	3	192	candidate	201	100
6	4	256	candidate	197	100
6	5	320	trained	74	100
6	6	384	candidate	199	100
6	7	448	candidate	212	100
6	8	512	candidate	198	100
6	9	576	candidate	203	100
6	10	640	trained	75	100
6	11	704	candidate	195	100
6	12	768	candidate	197	100
6	13	832	candidate	196	100
6	14	896	candidate	200	100
6	15	960	trained	74	100
6	16	1024	candidate	196	100
6	17	1088	candidate	203	100
6	18	1152	candidate	201	100
6	19	1216	candidate	200	100
6	20	1280	trained	73	100
6	21	1344	candidate	196	100
6	22	1408	candidate	210	100
6	23	1472	candidate	203	100
6	24	1536	candidate	196	100
6	25	1600	predicted	111	100
6	26	1664	candidate	193	100
6	27	1728	candidate	196	100
6	28	1792	candidate	201	100
6	29	1856	candidate	196	100
6	30	1920	candidate	111	100
6	31	1984	trigger	73	100
6	32	2048	candidate	203	100
6	33	2112	candidate	199	100
6	34	2176	candidate	196	100
6	35	2240	candidate	104	100
6	36	2304	candidate	204	100
6	37	2368	candidate	207	100
6	38	2432	candidate	208	100
6	39	2496	candidate	200	100
6	40	2560	candidate	114	100
6	41	2624	candidate	195	100
6	42	2688	candidate	194	100
6	43	2752	candidate	196	100
6	44	2816	candidate	202	100
6	45	2880	candidate	100	100
6	46	2944	candidate	194	100
6	47	3008	candidate	197	100
6	48	3072	candidate	196	100
6	49	3136	candidate	195	100
6	50	3200	candidate	113	100
6	51	3264	candidate	197	100
6	52	3328	candidate	201	100
6	53	3392	candidate	203	100
6	54	3456	candidate	204	100
6	55	3520	candidate	112	100
6	56	3584	candidate	189	100
6	57	3648	candidate	195	100
6	58	3712	candidate	195	100
6	59	3776	candidate	200	100
6	60	3840	candidate	132	100
6	61	3904	candidate	193	100
6	62	3968	candidate	198	100
6	63	4032	candidate	199	100
7	0	0	trained	76	100
7	1	64	candidate	197	100
7	2	128	candidate	199	100
7	3	192	candidate	202	100
7	4	256	candidate	203	100
7	5	320	trained	73	100
7	6	384	candidate	208	100
7	7	448	candidate	209	100
7	8	512	candidate	200	100
7	9	576	candidate	196	100
7	10	640	trained	74	100
7	11	704	candidate	200	100
7	12	768	candidate	196	100
7	13	832	candidate	206	100
7	14	896	candidate	203	100
7	15	960	trained	72	100
7	16	1024	candidate	203	100
7	17	1088	candidate	198	100
7	18	1152	candidate	200	100
7	19	1216	candidate	202	100
7	20	1280	trained	74	100
7	21	1344	candidate	196	100
7	22	1408	candidate	203	100
7	23	1472	candidate	206	100
7	24	1536	candidate	191	100
7	25	1600	predicted	114	100
7	26	1664	candidate	198	100
7	27	1728	candidate	196	100
7	28	1792	candidate	203	100
7	29	1856	candidate	196	100
7	30	1920	candidate	108	100
7	31	1984	trigger	73	100
7	32	2048	candidate	202	100
7	33	2112	candidate	201	100
7	34	2176	candidate	202	100
7	35	2240	candidate	115	100
7	36	2304	candidate	208	100
7	37	2368	candidate	210	100
7	38	2432	candidate	197	100
7	39	2496	candidate	207	100
7	40	2560	candidate	108	100
7	41	2624	candidate	191	100
7	42	2688	candidate	199	100
7	43	2752	candidate	193	100
7	44	2816	candidate	198	100
7	45	2880	candidate	111	100
7	46	2944	candidate	202	100
7	47	3008	candidate	193	100
7	48	3072	candidate	202	100
7	49	3136	candidate	208	100
7	50	3200	candidate	117	100
7	51	3264	candidate	201	100
7	52	3328	candidate	198	100
7	53	3392	candidate	203	100
7	54	3456	candidate	199	100
7	55	3520	candidate	112	100
7	56	3584	candidate	200	100
7	57	3648	candidate	194	100
7	58	3712	candidate	196	100
7	59	3776	candidate	202	100
7	60	3840	candidate	145	100
7	61	3904	candidate	193	100
7	62	3968	candidate	196	100
7	63	4032	candidate	196	100
8	0	0	trained	76	100
8	1	64	candidate	210	100
8	2	128	candidate	193	100
8	3	192	candidate	196	100
8	4	256	candidate	205	100
8	5	320	trained	75	100
8	6	384	candidate	205	100
8	7	448	candidate	201	100
8	8	512	candidate	201	100
8	9	576	candidate	195	100
8	10	640	trained	76	100
8	11	704	candidate	203	100
8	12	768	candidate	209	100
8	13	832	candidate	203	100
8	14	896	candidate	189	100
8	15	960	trained	76	100
8	16	1024	candidate	201	100
8	17	1088	candidate	211	100
8	18	1152	candidate	205	100
8	19	1216	candidate	203	100
8	20	1280	trained	73	100
8	21	1344	candidate	197	100
8	22	1408	candidate	196	100
8	23	1472	candidate	203	100
8	24	1536	candidate	197	100
8	25	1600	predicted	115	100
8	26	1664	candidate	200	100
8	27	1728	candidate	203	100
8	28	1792	candidate	201	100
8	29	1856	candidate	196	100
8	30	1920	candidate	116	100
8	31	1984	trigger	74	100
8	32	2048	candidate	201	100
8	33	2112	candidate	206	100
8	34	2176	candidate	208	100
8	35	2240	candidate	123	100
8	36	2304	candidate	206	100
8	37	2368	candidate	203	100
8	38	2432	candidate	201	100
8	39	2496	candidate	207	100
8	40	2560	candidate	119	100
8	41	2624	candidate	200	100
8	42	2688	candidate	196	100
8	43	2752	candidate	199	100
8	44	2816	candidate	201	100
8	45	2880	candidate	123	100
8	46	2944	candidate	196	100
8	47	3008	candidate	197	100
8	48	3072	candidate	202	100
8	49	3136	candidate	207	100
8	50	3200	candidate	121	100
8	51	3264	candidate	200	100
8	52	3328	candidate	203	100
8	53	3392	candidate	211	100
8	54	3456	candidate	203	100
8	55	3520	candidate	122	100
8	56	3584	candidate	198	100
8	57	3648	candidate	193	100
8	58	3712	candidate	195	100
8	59	3776	candidate	196	100
8	60	3840	candidate	139	100
8	61	3904	candidate	204	100
8	62	3968	candidate	193	100
8	63	4032	candidate	202	100
9	0	0	trained	74	100
9	1	64	candidate	199	100
9	2	128	candidate	194	100
9	3	192	candidate	205	100
9	4	256	candidate	204	100
9	5	320	trained	75	100
9	6	384	candidate	211	100
9	7	448	candidate	210	100
9	8	512	candidate	206	100
9	9	576	candidate	201	100
9	10	640	trained	76	100
9	11	704	candidate	205	100
9	12	768	candidate	203	100
9	13	832	candidate	200	100
9	14	896	candidate	196	100
9	15	960	trained	74	100
9	16	1024	candidate	195	100
9	17	1088	candidate	200	100
9	18	1152	candidate	203	100
9	19	1216	candidate	209	100
9	20	1280	trained	76	100
9	21	1344	candidate	207	100
9	22	1408	candidate	207	100
9	23	1472	candidate	209	100
9	24	1536	candidate	199	100
9	25	1600	predicted	122	100
9	26	1664	candidate	206	100
9	27	1728	candidate	198	100
9	28	1792	candidate	198	100
9	29	1856	candidate	200	100
9	30	1920	candidate	121	100
9	31	1984	trigger	75	100
9	32	2048	candidate	206	100
9	33	2112	candidate	201	100
9	34	2176	candidate	199	100
9	35	2240	candidate	123	100
9	36	2304	candidate	209	100
9	37	2368	candidate	212	100
9	38	2432	candidate	213	100
9	39	2496	candidate	208	100
9	40	2560	candidate	117	100
9	41	2624	candidate	200	100
9	42	2688	candidate	199	100
9	43	2752	candidate	196	100
9	44	2816	candidate	193	100
9	45	2880	candidate	120	100
9	46	2944	candidate	197	100
9	47	3008	candidate	201	100
9	48	3072	candidate	201	100
9	49	3136	candidate	200	100
9	50	3200	candidate	127	100
9	51	3264	candidate	199	100
9	52	3328	candidate	203	100
9	53	3392	candidate	210	100
9	54	3456	candidate	205	100
9	55	3520	candidate	123	100
9	56	3584	candidate	192	100
9	57	3648	candidate	195	100
9	58	3712	candidate	206	100
9	59	3776	candidate	202	100
9	60	3840	candidate	143	100
9	61	3904	candidate	197	100
9	62	3968	candidate	206	100
9	63	4032	candidate	196	100
10	0	0	trained	76	100
10	1	64	candidate	196	100
10	2	128	candidate	203	100
10	3	192	candidate	210	100
10	4	256	candidate	197	100
10	5	320	trained	76	100
10	6	384	candidate	199	100
10	7	448	candidate	201	100
10	8	512	candidate	197	100
10	9	576	candidate	192	100
10	10	640	trained	73	100
10	11	704	candidate	199	100
10	12	768	candidate	203	100
10	13	832	candidate	197	100
10	14	896	candidate	198	100
10	15	960	trained	73	100
10	16	1024	candidate	206	100
10	17	1088	candidate	199	100
10	18	1152	candidate	206	100
10	19	1216	candidate	209	100
10	20	1280	trained	76	100
10	21	1344	candidate	209	100
10	22	1408	candidate	202	100
10	23	1472	candidate	199	100
10	24	1536	candidate	191	100
10	25	1600	predicted	109	100
10	26	1664	candidate	200	100
10	27	1728	candidate	203	100
10	28	1792	candidate	195	100
10	29	1856	candidate	194	100
10	30	1920	candidate	100	100
10	31	1984	trigger	75	100
10	32	2048	candidate	196	100
10	33	2112	candidate	206	100
10	34	2176	candidate	203	100
10	35	2240	candidate	109	100
10	36	2304	candidate	206	100
10	37	2368	candidate	202	100
10	38	2432	candidate	213	100
10	39	2496	candidate	203	100
10	40	2560	candidate	103	100
10	41	2624	candidate	198	100
10	42	2688	candidate	199	100
10	43	2752	candidate	201	100
10	44	2816	candidate	195	100
10	45	2880	candidate	103	100
10	46	2944	candidate	197	100
10	47	3008	candidate	193	100
10	48	3072	candidate	203	100
10	49	3136	candidate	203	100
10	50	3200	candidate	115	100
10	51	3264	candidate	203	100
10	52	3328	candidate	210	100
10	53	3392	candidate	205	100
10	54	3456	candidate	203	100
10	55	3520	candidate	102	100
10	56	3584	candidate	194	100
10	57	3648	candidate	203	100
10	58	3712	candidate	203	100
10	59	3776	candidate	192	100
10	60	3840	candidate	119	100
10	61	3904	candidate	202	100
10	62	3968	candidate	192	100
10	63	4032	candidate	193	100
11	0	0	trained	76	100
11	1	64	candidate	209	100
11	2	128	candidate	205	100
11	3	192	candidate	203	100
11	4	256	candidate	206	100
11	5	320	trained	75	100
11	6	384	candidate	204	100
11	7	448	candidate	206	100
11	8	512	candidate	203	100
11	9	576	candidate	205	100
11	10	640	trained	76	100
11	11	704	candidate	193	100
11	12	768	candidate	198	100
11	13	832	candidate	193	100
11	14	896	candidate	205	100
11	15	960	trained	76	100
11	16	1024	candidate	200	100
11	17	1088	candidate	205	100
11	18	1152	candidate	203	100
11	19	1216	candidate	203	100
11	20	1280	trained	75	100
11	21	1344	candidate	209	100
11	22	1408	candidate	204	100
11	23	1472	candidate	208	100
11	24	1536	candidate	203	100
11	25	1600	predicted	78	100
11	26	1664	candidate	194	100
11	27	1728	candidate	194	100
11	28	1792	candidate	205	100
11	29	1856	candidate	193	100
11	30	1920	candidate	76	100
11	31	1984	trigger	73	100
11	32	2048	candidate	200	100
11	33	2112	candidate	207	100
11	34	2176	candidate	201	100
11	35	2240	candidate	79	100
11	36	2304	candidate	214	100
11	37	2368	candidate	209	100
11	38	2432	candidate	201	100
11	39	2496	candidate	207	100
11	40	2560	candidate	77	100
11	41	2624	candidate	197	100
11	42	2688	candidate	198	100
11	43	2752	candidate	202	100
11	44	2816	candidate	193	100
11	45	2880	candidate	75	100
11	46	2944	candidate	193	100
11	47	3008	candidate	203	100
11	48	3072	candidate	202	100
11	49	3136	candidate	202	100
11	50	3200	candidate	76	100
11	51	3264	candidate	203	100
11	52	3328	candidate	198	100
11	53	3392	candidate	206	100
11	54	3456	candidate	207	100
11	55	3520	candidate	74	100
11	56	3584	candidate	203	100
11	57	3648	candidate	198	100
11	58	3712	candidate	203	100
11	59	3776	candidate	200	100
11	60	3840	candidate	170	100
11	61	3904	candidate	199	100
11	62	3968	candidate	201	100
11	63	4032	candidate	198	100
12	0	0	trained	76	100
12	1	64	candidate	203	100
12	2	128	candidate	192	100
12	3	192	candidate	202	100
12	4	256	candidate	214	100
12	5	320	trained	77	100
12	6	384	candidate	209	100
12	7	448	candidate	211	100
12	8	512	candidate	198	100
12	9	576	candidate	204	100
12	10	640	trained	79	100
12	11	704	candidate	194	100
12	12	768	candidate	196	100
12	13	832	candidate	201	100
12	14	896	candidate	199	100
12	15	960	trained	77	100
12	16	1024	candidate	205	100
12	17	1088	candidate	202	100
12	18	1152	candidate	204	100
12	19	1216	candidate	210	100
12	20	1280	trained	76	100
12	21	1344	candidate	210	100
12	22	1408	candidate	207	100
12	23	1472	candidate	204	100
12	24	1536	candidate	194	100
12	25	1600	predicted	79	100
12	26	1664	candidate	205	100
12	27	1728	candidate	199	100
12	28	1792	candidate	200	100
12	29	1856	candidate	204	100
12	30	1920	candidate	77	100
12	31	1984	trigger	76	100
12	32	2048	candidate	204	100
12	33	2112	candidate	201	100
12	34	2176	candidate	204	100
12	35	2240	candidate	78	100
12	36	2304	candidate	209	100
12	37	2368	candidate	220	100
12	38	2432	candidate	211	100
12	39	2496	candidate	211	100
12	40	2560	candidate	79	100
12	41	2624	candidate	194	100
12	42	2688	candidate	195	100
12	43	2752	candidate	200	100
12	44	2816	candidate	201	100
12	45	2880	candidate	81	100
12	46	2944	candidate	205	100
12	47	3008	candidate	197	100
12	48	3072	candidate	196	100
12	49	3136	candidate	203	100
12	50	3200	candidate	81	100
12	51	3264	candidate	207	100
12	52	3328	candidate	209	100
12	53	3392	candidate	210	100
12	54	3456	candidate	209	100
12	55	3520	candidate	78	100
12	56	3584	candidate	204	100
12	57	3648	candidate	207	100
12	58	3712	candidate	199	100
12	59	3776	candidate	196	100
12	60	3840	candidate	198	100
12	61	3904	candidate	193	100
12	62	3968	candidate	195	100
12	63	4032	candidate	203	100
13	0	0	trained	77	100
13	1	64	candidate	203	100
13	2	128	candidate	205	100
13	3	192	candidate	201	100
13	4	256	candidate	209	100
13	5	320	trained	76	100
13	6	384	candidate	206	100
13	7	448	candidate	202	100
13	8	512	candidate	186	100
13	9	576	candidate	203	100
13	10	640	trained	76	100
13	11	704	candidate	200	100
13	12	768	candidate	200	100
13	13	832	candidate	202	100
13	14	896	candidate	203	100
13	15	960	trained	75	100
13	16	1024	candidate	202	100
13	17	1088	candidate	210	100
13	18	1152	candidate	202	100
13	19	1216	candidate	201	100
13	20	1280	trained	76	100
13	21	1344	candidate	196	100
13	22	1408	candidate	208	100
13	23	1472	candidate	207	100
13	24	1536	candidate	197	100
13	25	1600	predicted	81	100
13	26	1664	candidate	203	100
13	27	1728	candidate	196	100
13	28	1792	candidate	199	100
13	29	1856	candidate	205	100
13	30	1920	candidate	87	100
13	31	1984	trigger	74	100
13	32	2048	candidate	206	100
13	33	2112	candidate	207	100
13	34	2176	candidate	203	100
13	35	2240	candidate	77	100
13	36	2304	candidate	208	100
13	37	2368	candidate	205	100
13	38	2432	candidate	212	100
13	39	2496	candidate	205	100
13	40	2560	candidate	80	100
13	41	2624	candidate	200	100
13	42	2688	candidate	200	100
13	43	2752	candidate	201	100
13	44	2816	candidate	199	100
13	45	2880	candidate	77	100
13	46	2944	candidate	194	100
13	47	3008	candidate	198	100
13	48	3072	candidate	201	100
13	49	3136	candidate	202	100
13	50	3200	candidate	77	100
13	51	3264	candidate	200	100
13	52	3328	candidate	208	100
13	53	3392	candidate	203	100
13	54	3456	candidate	205	100
13	55	3520	candidate	80	100
13	56	3584	candidate	199	100
13	57	3648	candidate	193	100
13	58	3712	candidate	195	100
13	59	3776	candidate	194	100
13	60	3840	candidate	201	100
13	61	3904	candidate	204	100
13	62	3968	candidate	199	100
13	63	4032	candidate	205	100
14	0	0	trained	75	100
14	1	64	candidate	199	100
14	2	128	candidate	195	100
14	3	192	candidate	209	100
14	4	256	candidate	209	100
14	5	320	trained	73	100
