# CMC next-node timing test
# access mode: pointer load only; software prefetch path removed
# timer: cntvct_el0, cntfrq_el0=13000000 Hz
# rounds=40000 threshold_ns=150 training_replays=128
# chain_nodes=128 control_nodes=16 mapping_pages=512
# trigger: node=0 page=29 line=35
# dummy: page=392 line=52; one same-PC chain_step is issued before each target probe
# each depth executes pointer loads node0..node(depth-1), then a same-PC dummy load, then probes node(depth).

[depth_next]
# depth	page	line	role		probes	hits	per_1000	avg_latency_ns
127	432	 8	next_after_depth	   314	  302	 961		   60

[controls]
# idx	page	line	role		probes	avg_latency_ns
 0	117	35	control		  2500	  178
 1	436	42	control		  2500	  175
 2	480	31	control		  2500	  177
 3	 28	30	control		  2500	  174
 4	490	26	control		  2500	  174
 5	291	 2	control		  2500	  177
 6	445	 5	control		  2500	  182
 7	 35	 7	control		  2500	  181
 8	502	18	control		  2500	  180
 9	224	 7	control		  2500	  182
10	 56	49	control		  2500	  177
11	  2	56	control		  2500	  173
12	448	20	control		  2500	  183
13	 98	 7	control		  2500	  180
14	293	28	control		  2500	  175
15	104	27	control		  2500	  175
