# store-stride entry-capacity test
# access mode: store (strb), same fixed PC for victim train and trigger
# stride=320 rounds=1000 page_size=4096 access_pc=0x0000000500000120 victim_buffer=0x0000000600000000
# STRIDE_LINES=5 TRAIN_ACCESSES=1 TRIGGER_ACCESSES=1 COMPETITOR_ACCESSES=1 PROBE_LINES=64 max_competitors=1024 page_step_pages=1
# victim accesses=2 train_only_accesses=1 trigger_accesses=1 stride_lines=5
# victim trigger lines: 5..5
# victim probe/predicted line: 10
# competitor accesses per page: 1 stores, stride_lines=5
# lower latency means that victim line was more likely prefetched
# no_trigger_n0_latency_ns=143
n	probe_line	offset_bytes	role	avg_ns	probes
59	10	640	predicted	145	1000
60	10	640	predicted	142	1000
61	10	640	predicted	143	1000
62	10	640	predicted	145	1000
63	10	640	predicted	145	1000
64	10	640	predicted	144	1000
65	10	640	predicted	141	1000
66	10	640	predicted	142	1000
67	10	640	predicted	145	1000
68	10	640	predicted	143	1000
69	10	640	predicted	145	1000
70	10	640	predicted	144	1000
71	10	640	predicted	143	1000
72	10	640	predicted	145	1000
73	10	640	predicted	142	1000
74	10	640	predicted	145	1000
75	10	640	predicted	143	1000
76	10	640	predicted	145	1000
77	10	640	predicted	143	1000
78	10	640	predicted	142	1000
79	10	640	predicted	142	1000
80	10	640	predicted	142	1000
81	10	640	predicted	143	1000
82	10	640	predicted	142	1000
83	10	640	predicted	140	1000
84	10	640	predicted	144	1000
85	10	640	predicted	144	1000
86	10	640	predicted	145	1000
87	10	640	predicted	143	1000
88	10	640	predicted	139	1000
89	10	640	predicted	140	1000
90	10	640	predicted	140	1000
91	10	640	predicted	141	1000
92	10	640	predicted	142	1000
93	10	640	predicted	143	1000
94	10	640	predicted	145	1000
95	10	640	predicted	144	1000
96	10	640	predicted	141	1000
97	10	640	predicted	136	1000
98	10	640	predicted	141	1000
99	10	640	predicted	142	1000
100	10	640	predicted	145	1000
101	10	640	predicted	142	1000
102	10	640	predicted	143	1000
103	10	640	predicted	142	1000
104	10	640	predicted	140	1000
105	10	640	predicted	144	1000
106	10	640	predicted	142	1000
107	10	640	predicted	145	1000
108	10	640	predicted	142	1000
109	10	640	predicted	144	1000
110	10	640	predicted	142	1000
111	10	640	predicted	143	1000
112	10	640	predicted	143	1000
113	10	640	predicted	145	1000
114	10	640	predicted	144	1000
115	10	640	predicted	144	1000
116	10	640	predicted	144	1000
117	10	640	predicted	143	1000
118	10	640	predicted	143	1000
119	10	640	predicted	143	1000
120	10	640	predicted	147	1000
121	10	640	predicted	141	1000
122	10	640	predicted	143	1000
123	10	640	predicted	146	1000
124	10	640	predicted	145	1000
125	10	640	predicted	142	1000
126	10	640	predicted	146	1000
127	10	640	predicted	143	1000
128	10	640	predicted	145	1000
129	10	640	predicted	143	1000
130	10	640	predicted	145	1000
131	10	640	predicted	144	1000
132	10	640	predicted	143	1000
133	10	640	predicted	144	1000
134	10	640	predicted	142	1000
135	10	640	predicted	145	1000
136	10	640	predicted	145	1000
137	10	640	predicted	144	1000
138	10	640	predicted	143	1000
139	10	640	predicted	144	1000
140	10	640	predicted	141	1000
141	10	640	predicted	143	1000
142	10	640	predicted	145	1000
143	10	640	predicted	144	1000
144	10	640	predicted	143	1000
145	10	640	predicted	144	1000
146	10	640	predicted	145	1000
147	10	640	predicted	141	1000
148	10	640	predicted	144	1000
149	10	640	predicted	144	1000
150	10	640	predicted	139	1000
151	10	640	predicted	144	1000
152	10	640	predicted	143	1000
153	10	640	predicted	144	1000
154	10	640	predicted	144	1000
155	10	640	predicted	142	1000
156	10	640	predicted	145	1000
157	10	640	predicted	145	1000
158	10	640	predicted	146	1000
159	10	640	predicted	142	1000
160	10	640	predicted	145	1000
161	10	640	predicted	144	1000
162	10	640	predicted	145	1000
163	10	640	predicted	144	1000
164	10	640	predicted	143	1000
165	10	640	predicted	142	1000
166	10	640	predicted	143	1000
167	10	640	predicted	143	1000
168	10	640	predicted	143	1000
169	10	640	predicted	144	1000
170	10	640	predicted	143	1000
171	10	640	predicted	147	1000
172	10	640	predicted	144	1000
173	10	640	predicted	140	1000
174	10	640	predicted	141	1000
175	10	640	predicted	145	1000
176	10	640	predicted	144	1000
177	10	640	predicted	145	1000
178	10	640	predicted	143	1000
179	10	640	predicted	145	1000
180	10	640	predicted	144	1000
181	10	640	predicted	147	1000
182	10	640	predicted	142	1000
183	10	640	predicted	146	1000
184	10	640	predicted	144	1000
185	10	640	predicted	142	1000
186	10	640	predicted	145	1000
187	10	640	predicted	144	1000
188	10	640	predicted	145	1000
189	10	640	predicted	142	1000
190	10	640	predicted	141	1000
191	10	640	predicted	140	1000
192	10	640	predicted	143	1000
193	10	640	predicted	142	1000
194	10	640	predicted	148	1000
195	10	640	predicted	144	1000
196	10	640	predicted	142	1000
197	10	640	predicted	145	1000
198	10	640	predicted	142	1000
199	10	640	predicted	143	1000
200	10	640	predicted	143	1000
201	10	640	predicted	128	1000
202	10	640	predicted	129	1000
203	10	640	predicted	137	1000
204	10	640	predicted	142	1000
205	10	640	predicted	142	1000
206	10	640	predicted	143	1000
207	10	640	predicted	139	1000
208	10	640	predicted	142	1000
209	10	640	predicted	143	1000
210	10	640	predicted	143	1000
211	10	640	predicted	140	1000
212	10	640	predicted	136	1000
213	10	640	predicted	134	1000
214	10	640	predicted	139	1000
215	10	640	predicted	145	1000
216	10	640	predicted	144	1000
217	10	640	predicted	144	1000
218	10	640	predicted	143	1000
219	10	640	predicted	144	1000
220	10	640	predicted	146	1000
221	10	640	predicted	144	1000
222	10	640	predicted	137	1000
223	10	640	predicted	138	1000
224	10	640	predicted	144	1000
225	10	640	predicted	143	1000
226	10	640	predicted	145	1000
227	10	640	predicted	144	1000
228	10	640	predicted	146	1000
229	10	640	predicted	142	1000
230	10	640	predicted	146	1000
231	10	640	predicted	144	1000
232	10	640	predicted	146	1000
233	10	640	predicted	144	1000
234	10	640	predicted	144	1000
235	10	640	predicted	145	1000
236	10	640	predicted	145	1000
237	10	640	predicted	145	1000
238	10	640	predicted	145	1000
239	10	640	predicted	142	1000
240	10	640	predicted	141	1000
241	10	640	predicted	139	1000
242	10	640	predicted	125	1000
243	10	640	predicted	142	1000
244	10	640	predicted	143	1000
245	10	640	predicted	144	1000
246	10	640	predicted	146	1000
247	10	640	predicted	142	1000
248	10	640	predicted	138	1000
249	10	640	predicted	144	1000
250	10	640	predicted	145	1000
251	10	640	predicted	143	1000
252	10	640	predicted	144	1000
253	10	640	predicted	144	1000
254	10	640	predicted	144	1000
255	10	640	predicted	144	1000
256	10	640	predicted	145	1000
257	10	640	predicted	142	1000
258	10	640	predicted	145	1000
259	10	640	predicted	142	1000
260	10	640	predicted	142	1000
261	10	640	predicted	143	1000
262	10	640	predicted	143	1000
263	10	640	predicted	144	1000
264	10	640	predicted	143	1000
265	10	640	predicted	143	1000
266	10	640	predicted	145	1000
267	10	640	predicted	144	1000
268	10	640	predicted	142	1000
269	10	640	predicted	145	1000
270	10	640	predicted	144	1000
271	10	640	predicted	141	1000
272	10	640	predicted	137	1000
273	10	640	predicted	142	1000
274	10	640	predicted	143	1000
275	10	640	predicted	144	1000
276	10	640	predicted	144	1000
277	10	640	predicted	138	1000
278	10	640	predicted	143	1000
279	10	640	predicted	148	1000
280	10	640	predicted	137	1000
281	10	640	predicted	144	1000
282	10	640	predicted	144	1000
283	10	640	predicted	142	1000
284	10	640	predicted	144	1000
285	10	640	predicted	142	1000
286	10	640	predicted	144	1000
287	10	640	predicted	144	1000
288	10	640	predicted	143	1000
289	10	640	predicted	143	1000
290	10	640	predicted	145	1000
291	10	640	predicted	142	1000
292	10	640	predicted	143	1000
293	10	640	predicted	144	1000
294	10	640	predicted	143	1000
295	10	640	predicted	144	1000
296	10	640	predicted	146	1000
297	10	640	predicted	146	1000
298	10	640	predicted	143	1000
299	10	640	predicted	143	1000
300	10	640	predicted	146	1000
301	10	640	predicted	143	1000
302	10	640	predicted	135	1000
303	10	640	predicted	142	1000
304	10	640	predicted	143	1000
305	10	640	predicted	144	1000
306	10	640	predicted	143	1000
307	10	640	predicted	144	1000
308	10	640	predicted	142	1000
309	10	640	predicted	144	1000
310	10	640	predicted	143	1000
311	10	640	predicted	142	1000
312	10	640	predicted	144	1000
313	10	640	predicted	144	1000
314	10	640	predicted	140	1000
315	10	640	predicted	138	1000
316	10	640	predicted	141	1000
317	10	640	predicted	144	1000
318	10	640	predicted	143	1000
319	10	640	predicted	146	1000
320	10	640	predicted	141	1000
321	10	640	predicted	144	1000
322	10	640	predicted	145	1000
323	10	640	predicted	145	1000
324	10	640	predicted	144	1000
325	10	640	predicted	144	1000
326	10	640	predicted	144	1000
327	10	640	predicted	145	1000
328	10	640	predicted	144	1000
329	10	640	predicted	144	1000
330	10	640	predicted	144	1000
331	10	640	predicted	143	1000
332	10	640	predicted	143	1000
333	10	640	predicted	144	1000
334	10	640	predicted	143	1000
335	10	640	predicted	149	1000
336	10	640	predicted	144	1000
337	10	640	predicted	143	1000
338	10	640	predicted	144	1000
339	10	640	predicted	145	1000
340	10	640	predicted	140	1000
341	10	640	predicted	143	1000
342	10	640	predicted	146	1000
343	10	640	predicted	142	1000
344	10	640	predicted	138	1000
345	10	640	predicted	142	1000
346	10	640	predicted	143	1000
347	10	640	predicted	145	1000
348	10	640	predicted	145	1000
349	10	640	predicted	133	1000
350	10	640	predicted	141	1000
351	10	640	predicted	145	1000
352	10	640	predicted	137	1000
353	10	640	predicted	131	1000
354	10	640	predicted	139	1000
355	10	640	predicted	135	1000
356	10	640	predicted	141	1000
357	10	640	predicted	138	1000
358	10	640	predicted	139	1000
359	10	640	predicted	142	1000
360	10	640	predicted	139	1000
361	10	640	predicted	141	1000
362	10	640	predicted	140	1000
363	10	640	predicted	142	1000
364	10	640	predicted	144	1000
365	10	640	predicted	146	1000
366	10	640	predicted	142	1000
367	10	640	predicted	144	1000
368	10	640	predicted	144	1000
369	10	640	predicted	143	1000
370	10	640	predicted	142	1000
371	10	640	predicted	144	1000
372	10	640	predicted	144	1000
373	10	640	predicted	143	1000
374	10	640	predicted	142	1000
375	10	640	predicted	143	1000
376	10	640	predicted	143	1000
377	10	640	predicted	143	1000
378	10	640	predicted	145	1000
379	10	640	predicted	145	1000
380	10	640	predicted	145	1000
381	10	640	predicted	142	1000
382	10	640	predicted	144	1000
383	10	640	predicted	143	1000
384	10	640	predicted	143	1000
385	10	640	predicted	143	1000
386	10	640	predicted	144	1000
387	10	640	predicted	144	1000
388	10	640	predicted	142	1000
389	10	640	predicted	145	1000
390	10	640	predicted	145	1000
391	10	640	predicted	142	1000
392	10	640	predicted	145	1000
393	10	640	predicted	144	1000
394	10	640	predicted	144	1000
395	10	640	predicted	144	1000
396	10	640	predicted	144	1000
397	10	640	predicted	146	1000
398	10	640	predicted	145	1000
399	10	640	predicted	144	1000
400	10	640	predicted	144	1000
401	10	640	predicted	143	1000
402	10	640	predicted	143	1000
403	10	640	predicted	144	1000
404	10	640	predicted	142	1000
405	10	640	predicted	144	1000
406	10	640	predicted	142	1000
407	10	640	predicted	144	1000
408	10	640	predicted	145	1000
409	10	640	predicted	143	1000
410	10	640	predicted	143	1000
411	10	640	predicted	145	1000
412	10	640	predicted	138	1000
413	10	640	predicted	144	1000
414	10	640	predicted	143	1000
415	10	640	predicted	144	1000
416	10	640	predicted	142	1000
417	10	640	predicted	144	1000
418	10	640	predicted	143	1000
419	10	640	predicted	145	1000
420	10	640	predicted	143	1000
421	10	640	predicted	143	1000
422	10	640	predicted	143	1000
423	10	640	predicted	145	1000
424	10	640	predicted	144	1000
425	10	640	predicted	146	1000
426	10	640	predicted	142	1000
427	10	640	predicted	145	1000
428	10	640	predicted	146	1000
429	10	640	predicted	143	1000
430	10	640	predicted	146	1000
431	10	640	predicted	143	1000
432	10	640	predicted	143	1000
433	10	640	predicted	136	1000
434	10	640	predicted	144	1000
435	10	640	predicted	144	1000
436	10	640	predicted	143	1000
437	10	640	predicted	145	1000
438	10	640	predicted	143	1000
439	10	640	predicted	145	1000
440	10	640	predicted	144	1000
441	10	640	predicted	144	1000
442	10	640	predicted	143	1000
443	10	640	predicted	143	1000
444	10	640	predicted	144	1000
445	10	640	predicted	142	1000
446	10	640	predicted	143	1000
447	10	640	predicted	143	1000
448	10	640	predicted	139	1000
449	10	640	predicted	144	1000
450	10	640	predicted	143	1000
451	10	640	predicted	144	1000
452	10	640	predicted	144	1000
453	10	640	predicted	144	1000
454	10	640	predicted	144	1000
455	10	640	predicted	144	1000
456	10	640	predicted	147	1000
457	10	640	predicted	143	1000
458	10	640	predicted	147	1000
459	10	640	predicted	144	1000
460	10	640	predicted	143	1000
461	10	640	predicted	144	1000
462	10	640	predicted	144	1000
463	10	640	predicted	144	1000
464	10	640	predicted	144	1000
465	10	640	predicted	143	1000
466	10	640	predicted	132	1000
467	10	640	predicted	142	1000
468	10	640	predicted	143	1000
469	10	640	predicted	144	1000
470	10	640	predicted	144	1000
471	10	640	predicted	144	1000
472	10	640	predicted	145	1000
473	10	640	predicted	143	1000
474	10	640	predicted	145	1000
475	10	640	predicted	140	1000
476	10	640	predicted	142	1000
477	10	640	predicted	137	1000
478	10	640	predicted	131	1000
479	10	640	predicted	140	1000
480	10	640	predicted	142	1000
481	10	640	predicted	138	1000
482	10	640	predicted	130	1000
483	10	640	predicted	134	1000
484	10	640	predicted	132	1000
485	10	640	predicted	137	1000
486	10	640	predicted	145	1000
487	10	640	predicted	144	1000
488	10	640	predicted	144	1000
489	10	640	predicted	145	1000
490	10	640	predicted	146	1000
491	10	640	predicted	144	1000
492	10	640	predicted	144	1000
493	10	640	predicted	144	1000
494	10	640	predicted	143	1000
495	10	640	predicted	143	1000
496	10	640	predicted	144	1000
497	10	640	predicted	145	1000
498	10	640	predicted	145	1000
499	10	640	predicted	145	1000
500	10	640	predicted	146	1000
501	10	640	predicted	144	1000
502	10	640	predicted	144	1000
503	10	640	predicted	145	1000
504	10	640	predicted	144	1000
505	10	640	predicted	145	1000
506	10	640	predicted	144	1000
507	10	640	predicted	145	1000
508	10	640	predicted	144	1000
509	10	640	predicted	144	1000
510	10	640	predicted	144	1000
511	10	640	predicted	145	1000
512	10	640	predicted	145	1000
513	10	640	predicted	145	1000
514	10	640	predicted	144	1000
515	10	640	predicted	144	1000
516	10	640	predicted	144	1000
517	10	640	predicted	143	1000
518	10	640	predicted	143	1000
519	10	640	predicted	143	1000
520	10	640	predicted	144	1000
521	10	640	predicted	144	1000
522	10	640	predicted	142	1000
523	10	640	predicted	142	1000
524	10	640	predicted	144	1000
525	10	640	predicted	143	1000
526	10	640	predicted	143	1000
527	10	640	predicted	142	1000
528	10	640	predicted	146	1000
529	10	640	predicted	145	1000
530	10	640	predicted	144	1000
531	10	640	predicted	145	1000
532	10	640	predicted	145	1000
533	10	640	predicted	145	1000
534	10	640	predicted	144	1000
535	10	640	predicted	144	1000
536	10	640	predicted	151	1000
537	10	640	predicted	144	1000
538	10	640	predicted	144	1000
539	10	640	predicted	145	1000
540	10	640	predicted	144	1000
541	10	640	predicted	147	1000
542	10	640	predicted	144	1000
543	10	640	predicted	137	1000
544	10	640	predicted	144	1000
545	10	640	predicted	145	1000
546	10	640	predicted	143	1000
547	10	640	predicted	145	1000
548	10	640	predicted	144	1000
549	10	640	predicted	144	1000
550	10	640	predicted	144	1000
551	10	640	predicted	144	1000
552	10	640	predicted	139	1000
553	10	640	predicted	144	1000
554	10	640	predicted	143	1000
555	10	640	predicted	143	1000
556	10	640	predicted	142	1000
557	10	640	predicted	144	1000
558	10	640	predicted	144	1000
559	10	640	predicted	140	1000
560	10	640	predicted	147	1000
561	10	640	predicted	144	1000
562	10	640	predicted	138	1000
563	10	640	predicted	144	1000
564	10	640	predicted	144	1000
565	10	640	predicted	143	1000
566	10	640	predicted	144	1000
567	10	640	predicted	144	1000
568	10	640	predicted	143	1000
569	10	640	predicted	143	1000
570	10	640	predicted	143	1000
571	10	640	predicted	143	1000
572	10	640	predicted	144	1000
573	10	640	predicted	140	1000
574	10	640	predicted	141	1000
575	10	640	predicted	143	1000
576	10	640	predicted	146	1000
577	10	640	predicted	144	1000
578	10	640	predicted	134	1000
579	10	640	predicted	142	1000
580	10	640	predicted	139	1000
581	10	640	predicted	139	1000
582	10	640	predicted	134	1000
583	10	640	predicted	136	1000
584	10	640	predicted	132	1000
585	10	640	predicted	136	1000
586	10	640	predicted	135	1000
587	10	640	predicted	133	1000
588	10	640	predicted	130	1000
589	10	640	predicted	130	1000
590	10	640	predicted	130	1000
591	10	640	predicted	137	1000
592	10	640	predicted	144	1000
593	10	640	predicted	143	1000
594	10	640	predicted	143	1000
595	10	640	predicted	136	1000
596	10	640	predicted	142	1000
597	10	640	predicted	144	1000
598	10	640	predicted	145	1000
599	10	640	predicted	144	1000
600	10	640	predicted	144	1000
601	10	640	predicted	144	1000
602	10	640	predicted	146	1000
603	10	640	predicted	144	1000
604	10	640	predicted	143	1000
605	10	640	predicted	144	1000
606	10	640	predicted	144	1000
607	10	640	predicted	146	1000
608	10	640	predicted	144	1000
609	10	640	predicted	145	1000
610	10	640	predicted	145	1000
611	10	640	predicted	143	1000
612	10	640	predicted	145	1000
613	10	640	predicted	145	1000
614	10	640	predicted	147	1000
615	10	640	predicted	145	1000
616	10	640	predicted	145	1000
617	10	640	predicted	145	1000
618	10	640	predicted	144	1000
619	10	640	predicted	144	1000
620	10	640	predicted	144	1000
621	10	640	predicted	144	1000
622	10	640	predicted	142	1000
623	10	640	predicted	143	1000
624	10	640	predicted	144	1000
625	10	640	predicted	144	1000
626	10	640	predicted	143	1000
627	10	640	predicted	143	1000
628	10	640	predicted	143	1000
629	10	640	predicted	143	1000
630	10	640	predicted	145	1000
631	10	640	predicted	143	1000
632	10	640	predicted	144	1000
633	10	640	predicted	143	1000
634	10	640	predicted	144	1000
635	10	640	predicted	145	1000
636	10	640	predicted	145	1000
637	10	640	predicted	144	1000
638	10	640	predicted	147	1000
639	10	640	predicted	145	1000
640	10	640	predicted	144	1000
641	10	640	predicted	143	1000
642	10	640	predicted	144	1000
643	10	640	predicted	143	1000
644	10	640	predicted	144	1000
645	10	640	predicted	144	1000
646	10	640	predicted	147	1000
647	10	640	predicted	144	1000
648	10	640	predicted	142	1000
649	10	640	predicted	142	1000
650	10	640	predicted	144	1000
651	10	640	predicted	143	1000
652	10	640	predicted	142	1000
653	10	640	predicted	144	1000
654	10	640	predicted	139	1000
655	10	640	predicted	140	1000
656	10	640	predicted	144	1000
657	10	640	predicted	145	1000
658	10	640	predicted	144	1000
659	10	640	predicted	143	1000
660	10	640	predicted	144	1000
661	10	640	predicted	143	1000
662	10	640	predicted	142	1000
663	10	640	predicted	143	1000
664	10	640	predicted	143	1000
665	10	640	predicted	144	1000
666	10	640	predicted	144	1000
667	10	640	predicted	142	1000
668	10	640	predicted	142	1000
669	10	640	predicted	143	1000
670	10	640	predicted	143	1000
671	10	640	predicted	144	1000
672	10	640	predicted	144	1000
673	10	640	predicted	136	1000
674	10	640	predicted	137	1000
675	10	640	predicted	131	1000
676	10	640	predicted	131	1000
677	10	640	predicted	143	1000
678	10	640	predicted	137	1000
679	10	640	predicted	136	1000
680	10	640	predicted	139	1000
681	10	640	predicted	137	1000
682	10	640	predicted	146	1000
683	10	640	predicted	145	1000
684	10	640	predicted	144	1000
685	10	640	predicted	139	1000
686	10	640	predicted	142	1000
687	10	640	predicted	142	1000
688	10	640	predicted	143	1000
689	10	640	predicted	145	1000
690	10	640	predicted	144	1000
691	10	640	predicted	147	1000
692	10	640	predicted	146	1000
693	10	640	predicted	144	1000
694	10	640	predicted	145	1000
695	10	640	predicted	143	1000
696	10	640	predicted	142	1000
697	10	640	predicted	145	1000
698	10	640	predicted	144	1000
699	10	640	predicted	144	1000
700	10	640	predicted	142	1000
701	10	640	predicted	145	1000
702	10	640	predicted	143	1000
703	10	640	predicted	142	1000
704	10	640	predicted	144	1000
705	10	640	predicted	143	1000
706	10	640	predicted	144	1000
707	10	640	predicted	143	1000
708	10	640	predicted	143	1000
709	10	640	predicted	143	1000
710	10	640	predicted	144	1000
711	10	640	predicted	142	1000
712	10	640	predicted	143	1000
713	10	640	predicted	143	1000
714	10	640	predicted	140	1000
715	10	640	predicted	144	1000
716	10	640	predicted	141	1000
717	10	640	predicted	144	1000
718	10	640	predicted	144	1000
719	10	640	predicted	145	1000
720	10	640	predicted	144	1000
721	10	640	predicted	145	1000
722	10	640	predicted	142	1000
723	10	640	predicted	143	1000
724	10	640	predicted	143	1000
725	10	640	predicted	143	1000
726	10	640	predicted	144	1000
727	10	640	predicted	144	1000
728	10	640	predicted	142	1000
729	10	640	predicted	140	1000
730	10	640	predicted	145	1000
731	10	640	predicted	141	1000
732	10	640	predicted	144	1000
733	10	640	predicted	144	1000
734	10	640	predicted	142	1000
735	10	640	predicted	144	1000
736	10	640	predicted	141	1000
737	10	640	predicted	144	1000
738	10	640	predicted	144	1000
739	10	640	predicted	144	1000
740	10	640	predicted	142	1000
741	10	640	predicted	145	1000
742	10	640	predicted	145	1000
743	10	640	predicted	142	1000
744	10	640	predicted	144	1000
745	10	640	predicted	142	1000
746	10	640	predicted	146	1000
747	10	640	predicted	143	1000
748	10	640	predicted	147	1000
749	10	640	predicted	144	1000
750	10	640	predicted	144	1000
751	10	640	predicted	143	1000
752	10	640	predicted	144	1000
753	10	640	predicted	144	1000
754	10	640	predicted	145	1000
755	10	640	predicted	146	1000
756	10	640	predicted	145	1000
757	10	640	predicted	145	1000
758	10	640	predicted	137	1000
759	10	640	predicted	139	1000
760	10	640	predicted	138	1000
761	10	640	predicted	138	1000
762	10	640	predicted	140	1000
763	10	640	predicted	138	1000
764	10	640	predicted	141	1000
765	10	640	predicted	135	1000
766	10	640	predicted	142	1000
767	10	640	predicted	137	1000
768	10	640	predicted	143	1000
769	10	640	predicted	144	1000
770	10	640	predicted	141	1000
771	10	640	predicted	138	1000
772	10	640	predicted	142	1000
773	10	640	predicted	144	1000
774	10	640	predicted	142	1000
775	10	640	predicted	143	1000
776	10	640	predicted	144	1000
777	10	640	predicted	145	1000
778	10	640	predicted	144	1000
779	10	640	predicted	141	1000
780	10	640	predicted	144	1000
781	10	640	predicted	143	1000
782	10	640	predicted	143	1000
783	10	640	predicted	145	1000
784	10	640	predicted	144	1000
785	10	640	predicted	144	1000
786	10	640	predicted	144	1000
787	10	640	predicted	145	1000
788	10	640	predicted	144	1000
789	10	640	predicted	144	1000
790	10	640	predicted	144	1000
791	10	640	predicted	146	1000
792	10	640	predicted	144	1000
793	10	640	predicted	144	1000
794	10	640	predicted	143	1000
795	10	640	predicted	148	1000
796	10	640	predicted	141	1000
797	10	640	predicted	141	1000
798	10	640	predicted	144	1000
799	10	640	predicted	142	1000
800	10	640	predicted	145	1000
801	10	640	predicted	144	1000
802	10	640	predicted	143	1000
803	10	640	predicted	146	1000
804	10	640	predicted	142	1000
805	10	640	predicted	142	1000
806	10	640	predicted	144	1000
807	10	640	predicted	144	1000
808	10	640	predicted	150	1000
809	10	640	predicted	144	1000
810	10	640	predicted	143	1000
811	10	640	predicted	143	1000
812	10	640	predicted	139	1000
813	10	640	predicted	144	1000
814	10	640	predicted	143	1000
815	10	640	predicted	145	1000
816	10	640	predicted	144	1000
817	10	640	predicted	142	1000
818	10	640	predicted	144	1000
819	10	640	predicted	144	1000
820	10	640	predicted	142	1000
821	10	640	predicted	143	1000
822	10	640	predicted	143	1000
823	10	640	predicted	144	1000
824	10	640	predicted	144	1000
825	10	640	predicted	144	1000
826	10	640	predicted	143	1000
827	10	640	predicted	144	1000
828	10	640	predicted	143	1000
829	10	640	predicted	143	1000
830	10	640	predicted	144	1000
831	10	640	predicted	143	1000
832	10	640	predicted	141	1000
833	10	640	predicted	143	1000
834	10	640	predicted	143	1000
835	10	640	predicted	143	1000
836	10	640	predicted	141	1000
837	10	640	predicted	144	1000
838	10	640	predicted	136	1000
839	10	640	predicted	137	1000
840	10	640	predicted	136	1000
841	10	640	predicted	137	1000
842	10	640	predicted	136	1000
843	10	640	predicted	135	1000
844	10	640	predicted	140	1000
845	10	640	predicted	142	1000
846	10	640	predicted	143	1000
847	10	640	predicted	143	1000
848	10	640	predicted	140	1000
849	10	640	predicted	143	1000
850	10	640	predicted	143	1000
851	10	640	predicted	142	1000
852	10	640	predicted	142	1000
853	10	640	predicted	143	1000
854	10	640	predicted	144	1000
855	10	640	predicted	144	1000
856	10	640	predicted	144	1000
857	10	640	predicted	145	1000
858	10	640	predicted	143	1000
859	10	640	predicted	143	1000
860	10	640	predicted	144	1000
861	10	640	predicted	143	1000
862	10	640	predicted	144	1000
863	10	640	predicted	142	1000
864	10	640	predicted	144	1000
865	10	640	predicted	144	1000
866	10	640	predicted	142	1000
867	10	640	predicted	143	1000
868	10	640	predicted	144	1000
869	10	640	predicted	143	1000
870	10	640	predicted	143	1000
871	10	640	predicted	142	1000
872	10	640	predicted	143	1000
873	10	640	predicted	142	1000
874	10	640	predicted	145	1000
875	10	640	predicted	144	1000
876	10	640	predicted	146	1000
877	10	640	predicted	144	1000
878	10	640	predicted	144	1000
879	10	640	predicted	145	1000
880	10	640	predicted	142	1000
881	10	640	predicted	143	1000
882	10	640	predicted	143	1000
883	10	640	predicted	144	1000
884	10	640	predicted	144	1000
885	10	640	predicted	141	1000
886	10	640	predicted	142	1000
887	10	640	predicted	144	1000
888	10	640	predicted	143	1000
